FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.00069        ,         , 1.5             ,OVER_TOL , -0.0011         ,         , 0.025           ,         , 0               ,        
Basic_DAXPY               , 0.0027          ,         , -0.006          ,         , -0.015          ,         , 0.0037          ,         , 0               ,        
Basic_IF_QUAD             , 0.0047          ,         , 0.0056          ,         , 0.083           ,         , 0.073           ,         , 0               ,        
Basic_INIT3               , -0.00046        ,         , 0.0014          ,         , 0.0014          ,         , 0.0043          ,         , 0               ,        
Basic_INIT_VIEW1D         , -3.5e-05        ,         , 0.00062         ,         , 0.0011          ,         , 0.0014          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -2.6e-05        ,         , 1.1             ,OVER_TOL , 0.00013         ,         , 0.0027          ,         , 0               ,        
Basic_MULADDSUB           , -0.00012        ,         , 0.00092         ,         , -0.0057         ,         , -0.011          ,         , 0               ,        
Basic_NESTED_INIT         , 1.6e-05         ,         , 0.0025          ,         , 0.00035         ,         , -8.3e-05        ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00048        ,         , 8.6             ,OVER_TOL , 0               ,         , 0.1             ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -0.00084        ,         , -0.00087        ,         , 0               ,         , -0.4            ,         , 0               ,        
Stream_ADD                , 0.017           ,         , 0.015           ,         , 0.0012          ,         , 0.0012          ,         , 0               ,        
Stream_COPY               , 0.00045         ,         , -0.3            ,         , 8.5e-05         ,         , 0.00079         ,         , 0               ,        
Stream_DOT                , -0.00015        ,         , 0.0023          ,         , 0               ,         , -0.23           ,         , 0               ,        
Stream_MUL                , 0.025           ,         , 0.029           ,         , 0.0019          ,         , 0.0028          ,         , 0               ,        
Stream_TRIAD              , 0.00079         ,         , 0.008           ,         , -0.00077        ,         , -0.00092        ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.00084        ,         , -0.3            ,         , -0.015          ,         , -0.4            ,         , 1.8e+308        ,        
Col Max                   , 0.025           ,         , 8.6             ,         , 0.083           ,         , 0.1             ,         , -1.8e+308       ,        
Col Avg                   , 0.0032          ,         , 0.73            ,         , 0.0055          ,         , -0.028          ,         , 0               ,        
Col Std Dev               , 5.1e-05         ,         , 4.6             ,         , 0.00057         ,         , 0.015           ,         , 0               ,        
